ligandID,SMILES,maxring,numring,PDBs,PDBs_num
3Y8,CC1=C2C(C(C(N2)(C3C(C(C(N3)CC4=NC(CC5=NC1C(C5CCC(=O)O)(C)CC(=O)O)(C(=C4CCC(=O)O)CC(=O)O)C)(C)C=CC(=O)O)CC(=O)O)C)(C)CC(=O)O)CCC(=O)O,15,5,4x7g,1
3YI,Cc1c(c2c3c4c1OC(C4=O)(OC=CC(C(C(C(C(C(C(C(C=CC=C(C(=O)Nc(c2O)c(c3O)C=O)C)C)O)C)O)C)OC(=O)C)C)OC)C)O,24,5,6bef,1
3ZP,CCC1C(C=C(C=CC(=O)C(CC(C(C(C(CC(=O)O1)O)C)OC2C(C(C(C(O2)C)OC3CC(C(C(O3)C)O)(C)O)N(C)C)O)CC=O)C)C)COC4C(C(C(C(O4)C)O)O)OC,16,4,4x7x,1
40P,CC1CC23CCC(=CC2C4C5C(C(CC(O4)(O5)CC6CCCC7(O6)CCC8(O7)C(CCC(O8)CC(=C)CCCC3=NCC1C)(C)O)C)O)C(=O)O,19,8,4xhe,1
41J,CC1CC23CCC(=CC2C4C5C(C(CC(O4)(O5)CC6CCCC7(O6)CCC8(O7)C(CCC(O8)CC(=CCCC3=NCC1C)C)(C)O)C)O)C=C,19,8,4xk9,1
451,CC(=O)Nc1ccc2c(c1)OCCOCCOc3ccccc3OCCOCCO2,18,3,3fyx,1
4BW,c1nc(c2c(n1)n(cn2)C3C(C4C(O3)COP(=O)(OC5C(COP(=O)(O4)O)OC(C5O)n6cnc7c6N=C(NC7=O)N)O)O)N,12,7,6yj9 6ih7 5vdt 5cfm 6k3y 4yaz 6wt4 4yb1 6ydz 6ael,10
4P2,C=CC1CC1(C(=O)NS(=O)(=O)C2CC2)NC(=O)C3CC4CN3C(=O)C(NC(=O)OC5CCCC5CCCCCc6c(cc7ccccc7n6)O4)C8CCCC8,18,8,6fe6,1
4QS,CC1CC(C(C(C=C(C(C(C=CC=C(C(=O)NC2=C(C(=O)C(=C(C1)C2=O)OC)C)C)OC)OC(=O)N)C)C)O)OC,19,2,4as9,1
4T1,c1cc2cc(c1)NC(=O)CCCc3ccc(cc3)C(C(=O)NC2)Nc4ccc5c(c4)ccnc5N,16,6,4zxy,1
